Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0001
Sample Interval,8e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-8.000e-04,-2
-7.992e-04,-2.04
-7.984e-04,-2.04
-7.976e-04,-2.04
-7.968e-04,-2.04
-7.960e-04,-2.04
-7.952e-04,-2.04
-7.944e-04,-2.04
-7.936e-04,-2.04
-7.928e-04,-2
-7.920e-04,-2.04
-7.912e-04,-2.04
-7.904e-04,-2.04
-7.896e-04,-2.04
-7.888e-04,-2.04
-7.880e-04,-2.04
-7.872e-04,-2.04
-7.864e-04,-2.08
-7.856e-04,-2.04
-7.848e-04,-2.04
-7.840e-04,-2.08
-7.832e-04,-2.08
-7.824e-04,-2.08
-7.816e-04,-2.04
-7.808e-04,-2.04
-7.800e-04,-2.08
-7.792e-04,-2.08
-7.784e-04,-2.04
-7.776e-04,-2.08
-7.768e-04,-2.08
-7.760e-04,-2.08
-7.752e-04,-2.08
-7.744e-04,-2.08
-7.736e-04,-2.08
-7.728e-04,-2.08
-7.720e-04,-2.08
-7.712e-04,-2.08
-7.704e-04,-2.08
-7.696e-04,-2.08
-7.688e-04,-2.08
-7.680e-04,-2.08
-7.672e-04,-2.08
-7.664e-04,-2.08
-7.656e-04,-2.08
-7.648e-04,-2.08
-7.640e-04,-2.04
-7.632e-04,-2.08
-7.624e-04,-2.08
-7.616e-04,-2.08
-7.608e-04,-2.08
-7.600e-04,-2.08
-7.592e-04,-2.08
-7.584e-04,-2.08
-7.576e-04,-2.08
-7.568e-04,-2.08
-7.560e-04,-2.08
-7.552e-04,-2.08
-7.544e-04,-2.08
-7.536e-04,-1.64
-7.528e-04,-1.96
-7.520e-04,-1.96
-7.512e-04,-1.96
-7.504e-04,-1.92
-7.496e-04,-1.88
-7.488e-04,-1.84
-7.480e-04,-1.84
-7.472e-04,-1.76
-7.464e-04,-1.76
-7.456e-04,-1.72
-7.448e-04,-1.68
-7.440e-04,-1.68
-7.432e-04,-1.64
-7.424e-04,-1.64
-7.416e-04,-1.56
-7.408e-04,-1.56
-7.400e-04,-1.52
-7.392e-04,-1.48
-7.384e-04,-1.48
-7.376e-04,-1.44
-7.368e-04,-1.4
-7.360e-04,-1.36
-7.352e-04,-1.32
-7.344e-04,-1.28
-7.336e-04,-1.28
-7.328e-04,-1.24
-7.320e-04,-1.24
-7.312e-04,-1.24
-7.304e-04,-1.16
-7.296e-04,-1.16
-7.288e-04,-1.12
-7.280e-04,-1.08
-7.272e-04,-1.08
-7.264e-04,-1.04
-7.256e-04,-1.04
-7.248e-04,-1
-7.240e-04,-0.96
-7.232e-04,-0.92
-7.224e-04,-0.92
-7.216e-04,-0.88
-7.208e-04,-0.88
-7.200e-04,-0.8
-7.192e-04,-0.8
-7.184e-04,-0.8
-7.176e-04,-0.8
-7.168e-04,-0.76
-7.160e-04,-0.72
-7.152e-04,-0.72
-7.144e-04,-0.68
-7.136e-04,-0.64
-7.128e-04,-0.6
-7.120e-04,-0.6
-7.112e-04,-0.6
-7.104e-04,-0.56
-7.096e-04,-0.52
-7.088e-04,-0.48
-7.080e-04,-0.48
-7.072e-04,-0.48
-7.064e-04,-0.44
-7.056e-04,-0.44
-7.048e-04,-0.4
-7.040e-04,-0.4
-7.032e-04,-0.36
-7.024e-04,-0.32
-7.016e-04,-0.32
-7.008e-04,-0.32
-7.000e-04,-0.32
-6.992e-04,-0.28
-6.984e-04,-0.28
-6.976e-04,-0.24
-6.968e-04,-0.24
-6.960e-04,-0.2
-6.952e-04,-0.16
-6.944e-04,-0.16
-6.936e-04,-0.16
-6.928e-04,-0.12
-6.920e-04,-0.12
-6.912e-04,-0.12
-6.904e-04,-0.08
-6.896e-04,-0.08
-6.888e-04,-0.04
-6.880e-04,0
-6.872e-04,0
-6.864e-04,0
-6.856e-04,0.04
-6.848e-04,0.04
-6.840e-04,0.08
-6.832e-04,0.08
-6.824e-04,0.12
-6.816e-04,0.12
-6.808e-04,0.12
-6.800e-04,0.12
-6.792e-04,0.16
-6.784e-04,0.16
-6.776e-04,0.2
-6.768e-04,0.2
-6.760e-04,0.2
-6.752e-04,0.24
-6.744e-04,0.28
-6.736e-04,0.24
-6.728e-04,0.28
-6.720e-04,0.32
-6.712e-04,0.32
-6.704e-04,0.32
-6.696e-04,0.36
-6.688e-04,0.4
-6.680e-04,0.4
-6.672e-04,0.4
-6.664e-04,0.4
-6.656e-04,0.44
-6.648e-04,0.48
-6.640e-04,0.44
-6.632e-04,0.48
-6.624e-04,0.48
-6.616e-04,0.48
-6.608e-04,0.52
-6.600e-04,0.52
-6.592e-04,0.52
-6.584e-04,0.56
-6.576e-04,0.56
-6.568e-04,0.6
-6.560e-04,0.6
-6.552e-04,0.6
-6.544e-04,0.6
-6.536e-04,0.64
-6.528e-04,0.68
-6.520e-04,0.68
-6.512e-04,0.68
-6.504e-04,0.68
-6.496e-04,0.68
-6.488e-04,0.72
-6.480e-04,0.72
-6.472e-04,0.76
-6.464e-04,0.76
-6.456e-04,0.76
-6.448e-04,0.76
-6.440e-04,0.76
-6.432e-04,0.8
-6.424e-04,0.84
-6.416e-04,0.84
-6.408e-04,0.8
-6.400e-04,0.84
-6.392e-04,0.88
-6.384e-04,0.88
-6.376e-04,0.88
-6.368e-04,0.88
-6.360e-04,0.92
-6.352e-04,0.92
-6.344e-04,0.92
-6.336e-04,0.92
-6.328e-04,0.96
-6.320e-04,0.96
-6.312e-04,0.96
-6.304e-04,0.96
-6.296e-04,0.96
-6.288e-04,1
-6.280e-04,1
-6.272e-04,1
-6.264e-04,1.04
-6.256e-04,1
-6.248e-04,1.04
-6.240e-04,1.08
-6.232e-04,1.08
-6.224e-04,1.08
-6.216e-04,1.04
-6.208e-04,1.08
-6.200e-04,1.12
-6.192e-04,1.12
-6.184e-04,1.08
-6.176e-04,1.08
-6.168e-04,1.12
-6.160e-04,1.12
-6.152e-04,1.16
-6.144e-04,1.12
-6.136e-04,1.16
-6.128e-04,1.16
-6.120e-04,1.2
-6.112e-04,1.16
-6.104e-04,1.2
-6.096e-04,1.2
-6.088e-04,1.24
-6.080e-04,1.24
-6.072e-04,1.24
-6.064e-04,1.24
-6.056e-04,1.24
-6.048e-04,1.24
-6.040e-04,1.28
-6.032e-04,1.24
-6.024e-04,1.24
-6.016e-04,1.28
-6.008e-04,1.28
-6.000e-04,1.28
-5.992e-04,1.28
-5.984e-04,1.28
-5.976e-04,1.32
-5.968e-04,1.32
-5.960e-04,1.32
-5.952e-04,1.32
-5.944e-04,1.36
-5.936e-04,1.4
-5.928e-04,1.36
-5.920e-04,1.36
-5.912e-04,1.4
-5.904e-04,1.4
-5.896e-04,1.36
-5.888e-04,1.36
-5.880e-04,1.4
-5.872e-04,1.4
-5.864e-04,1.4
-5.856e-04,1.44
-5.848e-04,1.4
-5.840e-04,1.44
-5.832e-04,1.44
-5.824e-04,1.44
-5.816e-04,1.44
-5.808e-04,1.48
-5.800e-04,1.44
-5.792e-04,1.52
-5.784e-04,1.52
-5.776e-04,1.48
-5.768e-04,1.52
-5.760e-04,1.48
-5.752e-04,1.48
-5.744e-04,1.52
-5.736e-04,1.48
-5.728e-04,1.52
-5.720e-04,1.52
-5.712e-04,1.52
-5.704e-04,1.56
-5.696e-04,1.52
-5.688e-04,1.56
-5.680e-04,1.56
-5.672e-04,1.56
-5.664e-04,1.56
-5.656e-04,1.56
-5.648e-04,1.56
-5.640e-04,1.6
-5.632e-04,1.6
-5.624e-04,1.6
-5.616e-04,1.6
-5.608e-04,1.56
-5.600e-04,1.6
-5.592e-04,1.6
-5.584e-04,1.6
-5.576e-04,1.6
-5.568e-04,1.64
-5.560e-04,1.64
-5.552e-04,1.64
-5.544e-04,1.64
-5.536e-04,1.64
-5.528e-04,1.64
-5.520e-04,1.68
-5.512e-04,1.68
-5.504e-04,1.68
-5.496e-04,1.68
-5.488e-04,1.64
-5.480e-04,1.64
-5.472e-04,1.68
-5.464e-04,1.68
-5.456e-04,1.68
-5.448e-04,1.72
-5.440e-04,1.68
-5.432e-04,1.68
-5.424e-04,1.72
-5.416e-04,1.72
-5.408e-04,1.72
-5.400e-04,1.68
-5.392e-04,1.72
-5.384e-04,1.72
-5.376e-04,1.76
-5.368e-04,1.72
-5.360e-04,1.72
-5.352e-04,1.72
-5.344e-04,1.72
-5.336e-04,1.72
-5.328e-04,1.76
-5.320e-04,1.72
-5.312e-04,1.76
-5.304e-04,1.76
-5.296e-04,1.76
-5.288e-04,1.8
-5.280e-04,1.76
-5.272e-04,1.76
-5.264e-04,1.8
-5.256e-04,1.76
-5.248e-04,1.8
-5.240e-04,1.76
-5.232e-04,1.8
-5.224e-04,1.8
-5.216e-04,1.8
-5.208e-04,1.76
-5.200e-04,1.8
-5.192e-04,1.8
-5.184e-04,1.8
-5.176e-04,1.76
-5.168e-04,1.8
-5.160e-04,1.84
-5.152e-04,1.84
-5.144e-04,1.8
-5.136e-04,1.84
-5.128e-04,1.84
-5.120e-04,1.84
-5.112e-04,1.8
-5.104e-04,1.84
-5.096e-04,1.84
-5.088e-04,1.84
-5.080e-04,1.84
-5.072e-04,1.84
-5.064e-04,1.88
-5.056e-04,1.84
-5.048e-04,1.84
-5.040e-04,1.88
-5.032e-04,1.84
-5.024e-04,1.84
-5.016e-04,1.84
-5.008e-04,1.88
-5.000e-04,1.88
-4.992e-04,1.84
-4.984e-04,1.88
-4.976e-04,1.88
-4.968e-04,1.88
-4.960e-04,1.88
-4.952e-04,1.84
-4.944e-04,1.88
-4.936e-04,1.88
-4.928e-04,1.88
-4.920e-04,1.84
-4.912e-04,1.88
-4.904e-04,1.88
-4.896e-04,1.88
-4.888e-04,1.88
-4.880e-04,1.92
-4.872e-04,1.92
-4.864e-04,1.88
-4.856e-04,1.92
