Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,Hz
Horizontal Scale,1562.5
Sample Interval,12.5
Filter Frequency,2e+08
Record Length,1250
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,dB
Vertical Offset,0
Vertical Scale,20
Label,
FFT-FREQ,FFT-AMPL
6.312e+03,-45.4594
6.325e+03,-48.4688
6.338e+03,-46.4813
6.350e+03,-44.4906
6.362e+03,-44.4906
6.375e+03,-44.4906
6.388e+03,-47.9844
6.400e+03,-51.4781
6.412e+03,-49.975
6.425e+03,-48.4688
6.438e+03,-48.4688
6.450e+03,-48.4688
6.462e+03,-49.975
6.475e+03,-51.4781
6.488e+03,-46.9656
6.500e+03,-42.45
6.512e+03,-46.9656
6.525e+03,-51.4781
6.538e+03,-51.4781
6.550e+03,-51.4781
6.562e+03,-51.4781
6.575e+03,-51.4781
6.588e+03,-51.4781
6.600e+03,-51.4781
6.612e+03,-47.9844
6.625e+03,-44.4906
6.638e+03,-44.4906
6.650e+03,-44.4906
6.662e+03,-44.4906
6.675e+03,-44.4906
6.688e+03,-42.9844
6.700e+03,-41.4781
6.712e+03,-46.4781
6.725e+03,-51.4781
6.738e+03,-51.4781
6.750e+03,-51.4781
6.762e+03,-47.9844
6.775e+03,-44.4906
6.788e+03,-44.4906
6.800e+03,-44.4906
6.812e+03,-47.9844
6.825e+03,-51.4781
6.838e+03,-47.9844
6.850e+03,-44.4906
6.862e+03,-47.9844
6.875e+03,-51.4781
6.888e+03,-45.9094
6.900e+03,-40.3406
6.912e+03,-45.9094
6.925e+03,-51.4781
6.938e+03,-48.4688
6.950e+03,-45.4594
6.962e+03,-43.9562
6.975e+03,-42.45
6.988e+03,-46.9656
7.000e+03,-51.4781
7.012e+03,-49.975
7.025e+03,-48.4688
7.038e+03,-49.975
7.050e+03,-51.4781
7.062e+03,-46.9656
7.075e+03,-42.45
7.088e+03,-45.4594
7.100e+03,-48.4688
7.112e+03,-49.975
7.125e+03,-51.4781
7.138e+03,-47.9844
7.150e+03,-44.4906
7.162e+03,-47.9844
7.175e+03,-51.4781
7.188e+03,-51.4781
7.200e+03,-51.4781
7.212e+03,-46.4781
7.225e+03,-41.4781
7.238e+03,-44.975
7.250e+03,-48.4688
7.262e+03,-48.4688
7.275e+03,-48.4688
7.288e+03,-44.975
